Trendkanal Tage: Tagesbalken Ausgabe tage-1 --teil 1/4, Start 09.09.2026  8:48:54,70 

!!! WERTPAPIERART: Referenzkarte vorhanden, aber ohne Eintrag fuer GCI (erster Fall dieses Laufs; weitere werden nicht gemeldet) - solche Symbole fallen STILL aus dem Universum heraus.

2026-09-09T06:54:40.090Z  AUTO        6 Dateien   978 Tage     4 MB    707 ms
2026-09-09T06:54:44.723Z  AVA        11 Dateien  2679 Tage    34 MB   4633 ms
2026-09-09T06:54:49.918Z  AVB        11 Dateien  2669 Tage    42 MB   5195 ms
2026-09-09T06:54:53.588Z  AVDL       10 Dateien  2272 Tage    24 MB   3670 ms
2026-09-09T06:55:02.139Z  AVGO       11 Dateien  2680 Tage    75 MB   8550 ms
2026-09-09T06:55:04.970Z  AVID        8 Dateien  1975 Tage    20 MB   2831 ms
2026-09-09T06:55:04.997Z  AVOL        1 Dateien     4 Tage     0 MB     26 ms
2026-09-09T06:55:10.231Z  AVT        11 Dateien  2680 Tage    40 MB   5234 ms
2026-09-09T06:55:11.180Z  AVXS        3 Dateien   567 Tage     6 MB    948 ms
2026-09-09T06:55:15.960Z  AWI        11 Dateien  2679 Tage    31 MB   4779 ms
2026-09-09T06:55:16.433Z  AWSM        3 Dateien   417 Tage     4 MB    472 ms
2026-09-09T06:55:19.513Z  AXAS        6 Dateien  1406 Tage    28 MB   3080 ms  ausgelassen 4
2026-09-09T06:55:20.304Z  AXGT        2 Dateien   438 Tage     4 MB    790 ms
2026-09-09T06:55:21.431Z  AXLA        5 Dateien  1110 Tage     7 MB   1126 ms  ausgelassen 1
2026-09-09T06:55:26.728Z  AXON       11 Dateien  2680 Tage    40 MB   5297 ms
2026-09-09T06:55:32.490Z  AXTA       11 Dateien  2680 Tage    47 MB   5761 ms
2026-09-09T06:55:32.868Z  AYLA        4 Dateien   364 Tage     1 MB    378 ms
2026-09-09T06:55:35.239Z  AZEK        6 Dateien  1268 Tage    21 MB   2370 ms
2026-09-09T06:55:36.606Z  AZRE        8 Dateien  1153 Tage     8 MB   1366 ms
2026-09-09T06:55:36.695Z  AZUR        1 Dateien    77 Tage     1 MB     89 ms
2026-09-09T06:55:43.908Z  BA         11 Dateien  2680 Tage    67 MB   7212 ms
2026-09-09T06:55:51.996Z  BAC        11 Dateien  2679 Tage    71 MB   8088 ms
2026-09-09T06:55:57.278Z  BAH        11 Dateien  2679 Tage    44 MB   5282 ms
2026-09-09T06:55:57.336Z  BALY.T      2 Dateien     7 Tage     0 MB     58 ms
2026-09-09T06:55:59.614Z  BANF       11 Dateien  2680 Tage    11 MB   2278 ms
2026-09-09T06:56:01.398Z  BASE        5 Dateien  1048 Tage    11 MB   1783 ms
2026-09-09T06:56:08.787Z  BAX        11 Dateien  2679 Tage    49 MB   7388 ms
2026-09-09T06:56:13.611Z  BBBY       10 Dateien  2086 Tage    43 MB   4823 ms
2026-09-09T06:56:15.871Z  BBIG        6 Dateien  1006 Tage    18 MB   2260 ms  ausgelassen 2
2026-09-09T06:56:16.397Z  BBLN        3 Dateien   421 Tage     5 MB    526 ms
2026-09-09T06:56:17.929Z  BBU        11 Dateien  1132 Tage    10 MB   1531 ms
2026-09-09T06:56:18.866Z  BBX         5 Dateien  1031 Tage     6 MB    936 ms
2026-09-09T06:56:19.110Z  BCAC        5 Dateien   110 Tage     0 MB    243 ms  ausgelassen 1
2026-09-09T06:56:25.012Z  BCE        11 Dateien  2679 Tage    47 MB   5901 ms
2026-09-09T06:56:29.005Z  BCO        11 Dateien  2679 Tage    28 MB   3993 ms
2026-09-09T06:56:31.228Z  BCPC       11 Dateien  2680 Tage    16 MB   2223 ms
2026-09-09T06:56:37.321Z  BCS        11 Dateien  2680 Tage    50 MB   6092 ms
2026-09-09T06:56:39.244Z  BCYC        8 Dateien  1646 Tage    12 MB   1923 ms
2026-09-09T06:56:39.943Z  BDGE        6 Dateien  1278 Tage     5 MB    698 ms
2026-09-09T06:56:46.059Z  BDX        11 Dateien  2679 Tage    50 MB   6116 ms
2026-09-09T06:56:49.962Z  BECN       10 Dateien  2343 Tage    33 MB   3902 ms
2026-09-09T06:56:55.588Z  BEN        11 Dateien  2679 Tage    49 MB   5626 ms
2026-09-09T06:57:04.311Z  BERY       10 Dateien  2343 Tage    87 MB   8723 ms
2026-09-09T06:57:04.394Z  BFAC        3 Dateien   147 Tage     0 MB     82 ms
2026-09-09T06:57:05.491Z  BFIN       10 Dateien  2482 Tage     5 MB   1096 ms  ausgelassen 1
2026-09-09T06:57:05.697Z  BFX         2 Dateien    84 Tage     0 MB    205 ms
2026-09-09T06:57:09.133Z  BGCP        8 Dateien  1886 Tage    30 MB   3435 ms
2026-09-09T06:57:11.311Z  BGNE        9 Dateien  2225 Tage    23 MB   2178 ms
2026-09-09T06:57:12.368Z  BGXX        3 Dateien   588 Tage     7 MB   1056 ms  ausgelassen 1
2026-09-09T06:57:18.080Z  BHC        11 Dateien  2680 Tage    50 MB   5712 ms
2026-09-09T06:57:18.775Z  BHI         2 Dateien   378 Tage     7 MB    695 ms
2026-09-09T06:57:19.012Z  BHSE        3 Dateien   133 Tage     0 MB    237 ms
2026-09-09T06:57:19.052Z  BIE         1 Dateien    36 Tage     0 MB     40 ms
2026-09-09T06:57:19.140Z  BIIBV       1 Dateien     2 Tage     0 MB     88 ms
2026-09-09T06:57:19.466Z  BIN         1 Dateien   103 Tage     3 MB    326 ms
2026-09-09T06:57:19.752Z  BIOD        1 Dateien   163 Tage     3 MB    286 ms
2026-09-09T06:57:21.504Z  BIOS        7 Dateien  1090 Tage    14 MB   1752 ms  ausgelassen 1
