Signalstudie Minuten: Ausgabe voll-1-5m-15m --teil 1/8 --zeitrahmen 5m 15m, Start 07.09.2026 20:34:55,10 

!!! WERTPAPIERART: Referenzkarte vorhanden, aber ohne Eintrag fuer GCI (erster Fall dieses Laufs; weitere werden nicht gemeldet) - solche Symbole fallen STILL aus dem Universum heraus.

2026-09-07T18:34:56.662Z  START signale-minuten-2026-09-06/v4/13x3x3x4x3+kurs | 913 Reihen (7299 Aktien, ausgeschlossen {"ETF":694,"ETN":7,"ETV":35,"FUND":16,"ETS":4,"ohne Art":1,"TEST":1,"UNIT":1}) | 13 Detektoren | Tage 2680 | Bestaetigung ab 2023-02-07 | Teil 1/8
2026-09-07T18:34:56.663Z  ZEITRAHMEN-TEIL: nur 5m 15m - die uebrigen Zeitrahmen muessen in einem eigenen Lauf gemessen und beim Auswerten zusammengelegt werden
2026-09-07T18:52:42.378Z  ACLS/2017       roh          62905 reg. Kerzen    0/151/151 von 251  Tagen gewertet (1m/5m/15m)     4190 Signale  205 ms lesen  17115 ms rechnen
2026-09-07T18:53:00.074Z  ACLS/2018       roh          61527 reg. Kerzen    0/157/157 von 251  Tagen gewertet (1m/5m/15m)     4318 Signale  149 ms lesen  17260 ms rechnen
2026-09-07T18:53:01.611Z  ACLS/2019       roh          52169 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  289 ms lesen  908 ms rechnen
2026-09-07T18:53:25.020Z  ACLS/2020       roh          63942 reg. Kerzen    0/194/194 von 253  Tagen gewertet (1m/5m/15m)     5283 Signale  380 ms lesen  22753 ms rechnen
2026-09-07T18:53:49.138Z  ACLS/2021       roh          62065 reg. Kerzen    0/225/226 von 252  Tagen gewertet (1m/5m/15m)     6070 Signale  263 ms lesen  23520 ms rechnen
2026-09-07T18:54:18.845Z  ACLS/2022       roh          70897 reg. Kerzen    0/251/251 von 251  Tagen gewertet (1m/5m/15m)     7043 Signale  296 ms lesen  29082 ms rechnen
2026-09-07T18:54:47.564Z  ACLS/2023       roh          74194 reg. Kerzen    0/250/250 von 250  Tagen gewertet (1m/5m/15m)     6854 Signale  216 ms lesen  28134 ms rechnen
2026-09-07T18:55:15.788Z  ACLS/2024       roh          72806 reg. Kerzen    0/252/252 von 252  Tagen gewertet (1m/5m/15m)     6831 Signale  344 ms lesen  27493 ms rechnen
2026-09-07T18:55:45.906Z  ACLS/2025       roh          70762 reg. Kerzen    0/250/250 von 250  Tagen gewertet (1m/5m/15m)     6834 Signale  399 ms lesen  29313 ms rechnen
2026-09-07T18:56:05.907Z  ACLS/2026       roh          46891 reg. Kerzen    0/166/166 von 166  Tagen gewertet (1m/5m/15m)     4553 Signale  636 ms lesen  18866 ms rechnen
2026-09-07T18:56:06.267Z  ACQR/2021       roh           2348 reg. Kerzen        0/0/0 von 114  Tagen gewertet (1m/5m/15m)        0 Signale  40 ms lesen  42 ms rechnen
2026-09-07T18:56:06.403Z  ACQR/2022       roh           3384 reg. Kerzen        0/0/0 von 218  Tagen gewertet (1m/5m/15m)        0 Signale  61 ms lesen  60 ms rechnen
2026-09-07T18:56:06.452Z  ACQR/2023       roh            786 reg. Kerzen        0/0/0 von 42   Tagen gewertet (1m/5m/15m)        0 Signale  18 ms lesen  15 ms rechnen
2026-09-07T18:56:06.646Z  ACTD/2021       roh           3966 reg. Kerzen        0/0/0 von 143  Tagen gewertet (1m/5m/15m)        0 Signale  80 ms lesen  47 ms rechnen
2026-09-07T18:56:06.840Z  ACTD/2022       roh           6469 reg. Kerzen        0/0/0 von 134  Tagen gewertet (1m/5m/15m)        0 Signale  97 ms lesen  76 ms rechnen
2026-09-07T18:56:07.911Z  ADAP/2016       roh          45570 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  462 ms lesen  553 ms rechnen
2026-09-07T18:56:09.265Z  ADAP/2017       roh          48063 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  451 ms lesen  652 ms rechnen
2026-09-07T18:56:16.303Z  ADAP/2018       roh          66831 reg. Kerzen      0/48/48 von 251  Tagen gewertet (1m/5m/15m)     1294 Signale  639 ms lesen  6082 ms rechnen
2026-09-07T18:56:17.896Z  ADAP/2019       roh          54645 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  473 ms lesen  820 ms rechnen
2026-09-07T18:56:34.796Z  ADAP/2020       roh          71433 reg. Kerzen    0/128/128 von 253  Tagen gewertet (1m/5m/15m)     3501 Signale  586 ms lesen  15965 ms rechnen
2026-09-07T18:56:45.015Z  ADAP/2021       roh          73198 reg. Kerzen      0/72/72 von 252  Tagen gewertet (1m/5m/15m)     2009 Signale  551 ms lesen  9307 ms rechnen
2026-09-07T18:56:46.699Z  ADAP/2022       roh          52694 reg. Kerzen        0/0/0 von 251  Tagen gewertet (1m/5m/15m)        0 Signale  614 ms lesen  720 ms rechnen
2026-09-07T18:56:48.107Z  ADAP/2023       roh          52662 reg. Kerzen        0/0/0 von 250  Tagen gewertet (1m/5m/15m)        0 Signale  575 ms lesen  533 ms rechnen
2026-09-07T18:56:49.845Z  ADAP/2024       roh          69211 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  712 ms lesen  757 ms rechnen
2026-09-07T18:56:53.445Z  ADAP/2025       roh          54441 reg. Kerzen      0/13/13 von 205  Tagen gewertet (1m/5m/15m)      349 Signale  1144 ms lesen  2162 ms rechnen
2026-09-07T18:56:53.825Z  ADGE/2016       roh           5410 reg. Kerzen        0/0/0 von 250  Tagen gewertet (1m/5m/15m)        0 Signale  44 ms lesen  74 ms rechnen
2026-09-07T18:56:53.929Z  ADGE/2017       roh           1569 reg. Kerzen        0/0/0 von 95   Tagen gewertet (1m/5m/15m)        0 Signale  52 ms lesen  22 ms rechnen
2026-09-07T18:56:53.991Z  ADN/2019        bereinigt      521 reg. Kerzen        0/0/0 von 130  Tagen gewertet (1m/5m/15m)        0 Signale  25 ms lesen  15 ms rechnen
2026-09-07T18:56:56.279Z  ADN/2020        bereinigt    13965 reg. Kerzen      0/15/15 von 230  Tagen gewertet (1m/5m/15m)      404 Signale  123 ms lesen  2158 ms rechnen
2026-09-07T18:57:07.287Z  ADN/2021        bereinigt    65721 reg. Kerzen      0/77/77 von 252  Tagen gewertet (1m/5m/15m)     2153 Signale  1034 ms lesen  9889 ms rechnen
2026-09-07T18:57:10.903Z  ADN/2022        bereinigt    68958 reg. Kerzen      0/10/10 von 251  Tagen gewertet (1m/5m/15m)      282 Signale  1290 ms lesen  2016 ms rechnen
2026-09-07T18:57:12.705Z  ADN/2023        bereinigt    43638 reg. Kerzen        0/0/0 von 250  Tagen gewertet (1m/5m/15m)        0 Signale  801 ms lesen  636 ms rechnen
2026-09-07T18:57:13.877Z  ADN/2024        bereinigt    25624 reg. Kerzen        0/0/0 von 252  Tagen gewertet (1m/5m/15m)        0 Signale  670 ms lesen  287 ms rechnen
