Signalstudie Minuten: Ausgabe voll-2-5m-15m --teil 2/8 --zeitrahmen 5m 15m, Start 07.09.2026 20:34:55,18 

!!! WERTPAPIERART: Referenzkarte vorhanden, aber ohne Eintrag fuer GCI (erster Fall dieses Laufs; weitere werden nicht gemeldet) - solche Symbole fallen STILL aus dem Universum heraus.

2026-09-07T18:34:56.653Z  START signale-minuten-2026-09-06/v4/13x3x3x4x3+kurs | 913 Reihen (7299 Aktien, ausgeschlossen {"ETF":694,"ETN":7,"ETV":35,"FUND":16,"ETS":4,"ohne Art":1,"TEST":1,"UNIT":1}) | 13 Detektoren | Tage 2680 | Bestaetigung ab 2023-02-07 | Teil 2/8
2026-09-07T18:34:56.654Z  ZEITRAHMEN-TEIL: nur 5m 15m - die uebrigen Zeitrahmen muessen in einem eigenen Lauf gemessen und beim Auswerten zusammengelegt werden
2026-09-07T18:44:14.193Z  ACDI/2021       roh              2 reg. Kerzen        0/0/0 von 1    Tagen gewertet (1m/5m/15m)        0 Signale  31 ms lesen  0 ms rechnen
2026-09-07T18:44:14.323Z  ACDI/2022       roh            499 reg. Kerzen        0/0/0 von 142  Tagen gewertet (1m/5m/15m)        0 Signale  119 ms lesen  10 ms rechnen
2026-09-07T18:44:14.344Z  ACDI/2023       roh             68 reg. Kerzen        0/0/0 von 21   Tagen gewertet (1m/5m/15m)        0 Signale  11 ms lesen  6 ms rechnen
2026-09-07T18:44:38.633Z  ACHC/2016       roh          89881 reg. Kerzen    0/232/232 von 252  Tagen gewertet (1m/5m/15m)     6179 Signale  861 ms lesen  23422 ms rechnen
2026-09-07T18:45:04.119Z  ACHC/2017       roh          90207 reg. Kerzen    0/251/251 von 251  Tagen gewertet (1m/5m/15m)     6463 Signale  741 ms lesen  24228 ms rechnen
2026-09-07T18:45:29.205Z  ACHC/2018       roh          88058 reg. Kerzen    0/249/249 von 251  Tagen gewertet (1m/5m/15m)     6491 Signale  1086 ms lesen  23498 ms rechnen
2026-09-07T18:45:58.440Z  ACHC/2019       roh          83217 reg. Kerzen    0/252/252 von 252  Tagen gewertet (1m/5m/15m)     6615 Signale  994 ms lesen  27807 ms rechnen
2026-09-07T18:46:27.148Z  ACHC/2020       roh          83424 reg. Kerzen    0/253/253 von 253  Tagen gewertet (1m/5m/15m)     6738 Signale  1211 ms lesen  27070 ms rechnen
2026-09-07T18:46:53.443Z  ACHC/2021       roh          70600 reg. Kerzen    0/252/252 von 252  Tagen gewertet (1m/5m/15m)     6643 Signale  895 ms lesen  25041 ms rechnen
2026-09-07T18:47:18.221Z  ACHC/2022       roh          77230 reg. Kerzen    0/251/251 von 251  Tagen gewertet (1m/5m/15m)     6655 Signale  238 ms lesen  24257 ms rechnen
